,0
0,date wed 21 aug 2002 10 54 46 0500 chris garrigues message id reproduce error repeatable like every time without fail debug log pick happening 18 19 03 pick exec pick inbox list lbrace lbrace subject ftp rbrace rbrace 4852 4852 sequence mercury 18 19 03 exec pick inbox list lbrace lbrace subject ftp rbrace rbrace 4852 4852 sequence mercury 18 19 04 ftoc pickmsgs 1 hit 18 19 04 marking 1 hit 18 19 04 tkerror syntax error expression int note run pick command hand delta pick inbox list lbrace lbrace subject ftp rbrace rbrace 4852 4852 sequence mercury 1 hit 1 hit come obviously version nmh using delta pick version pick nmh compiled sun mar 17 14 55 56 ict 2002 relevant part profile delta mhparam pick seq sel list since pick command work sequence actually one explicit command line search popup one come profile get created kre p still using version code form day ago able reach cv repository today local routing issue think exmh worker mailing list exmh worker
1,martin posted tasso papadopoulos greek sculptor behind plan judged limestone mount kerdylio 70 mile east salonika far mount athos monastic community ideal patriotic sculpture well alexander granite feature 240 ft high 170 ft wide museum restored amphitheatre car park admiring crowd planned mountain limestone granite limestone weather pretty fast yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
2,man threatens explosion moscow thursday august 22 2002 1 40 pm moscow ap security officer thursday seized unidentified man said armed explosive threatened blow truck front russia federal security service headquarters moscow ntv television reported officer seized automatic rifle man carrying man got truck taken custody ntv said detail immediately available man demanded talk high government official interfax itar ta news agency said ekho moskvy radio reported wanted talk russian president vladimir putin police security force rushed security service building within block kremlin red square bolshoi ballet surrounded man claimed one half ton explosive news agency said negotiation continued one half hour outside building itar ta interfax reported citing witness man later drove away building police escort drove street near moscow olympic penta hotel authority held negotiation moscow police press service said move appeared attempt security service get secure location yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
3,klez virus die already prolific virus ever klez continues wreak havoc andrew brandt september 2002 issue pc world magazine posted thursday august 01 2002 klez worm approaching seventh month wriggling across web making one persistent virus ever expert warn may harbinger new virus use combination pernicious approach go pc pc antivirus software maker symantec mcafee report 2000 new infection daily sign letup press time british security firm messagelabs estimate 1 every 300 e mail message hold variation klez virus say klez already surpassed last summer sircam prolific virus ever newer klez variant merely nuisance carry virus corrupt data irregular mailing list irregular
4,wed aug 21 2002 15 46 ulises ponce wrote hi command insert signature using combination key sent mail insert simply put nmh component file component replcomps forwcomps way get editing message also using comp file specific folder alter per folder trick see doc n mh detail might must also way get sedit using gvim exmh message editor long time load command load email specific setting eg syntax colour highlight header quoted part email would possible map vim key would add sig even give selection sigs choose sort way randomly chosen sigs somewhere ok go pub usenet group signature finger faq warning old may 1995 regard ulises hope help cheer tony exmh user mailing list exmh user
5,adding cream spaghetti carbonara effect pasta making pizza deep pie jump carbonara one favourite make ask hell supposed use instead cream never seen recipe used personally use low fat creme fraiche work quite nicely time seen supposedly authentic recipe carbonara identical mine cream egg lot fresh parmesan except creme fraiche stew stewart smith scottish microelectronics centre university edinburgh yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
6,jump carbonara one favourite make ask hell supposed use instead cream basically mixture beaten egg bacon pancetta really mix raw egg cooked pasta heat pasta cook egg understanding martin yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
7,scotsman 22 august 2002 playboy want go bang ageing berlin playboy come unusual offer lure woman bed promising last woman sleep inheritance 250 000 160 000 rolf eden 72 berlin disco owner famous countless sex partner said could imagine better way die arm attractive young woman preferably put last testament last woman sleep get money mr eden told bild newspaper want pas away beautiful moment life first lot fun beautiful woman wild sex final orgasm end heart attack gone mr eden selling nightclub year said application sent quickly age could end soon said yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
8,martin adamson wrote basically mixture beaten egg bacon pancetta really mix raw egg cooked pasta heat pasta cook egg understanding probably right mine cream added egg guess try without actually looking internet recipe found one possibly one scariest people ever seen u congressman one worst non smile ever stew p apology list maine resident voted man seen pic stewart smith scottish microelectronics centre university edinburgh yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
9,scotsman thu 22 aug 2002 meaningful sentence tracey lawson ever wanted look like one dangerous inmate prison history one judge described charles bronson chance bronson serial hostage taker movie star written health fitness guide share secret behind legendary muscle power solitary fitness title bear testament fact bronson 48 spent 24 28 prison year solitary confinement explains turned lean mean fitness machine living 23 hour day space 12 foot eight foot diet scrub grub virtually cost book aimed want get fabulously fit without spending fortune gym membership protein supplement designer trainer start fierce attack expensive myth churned exercise industry pick fitness mag start laugh wipe arse opening paragraph penned bronson joke big con call criminal help feeling point first book bronson written behind bar already published birdman open mind feature drawing poem created bronson prison first prisoner discover creative expression residing majesty pleasure jimmy boyle scot sculptor novelist discovered artistic talent sent barlinnie prison famous special unit aimed help inmate put violent past behind teaching express emotion artistically boyle sentenced life murder babs rooney released moved edinburgh become respected artist first novel hero underworld published 1999 autobiography sense freedom made award winning film hugh collins jailed life 1977 murder william mooney glasgow first year barlinnie prison stabbed three prison officer earning extra seven year sentence transferred unit boyle attended learned sculpt developed interest art later published autobiography murderer frank account glasgow criminal culture 1960s received critical praise lord archer seem trouble continuing write book made million jail recently signed three book deal macmillan publisher worth reported 10 million doubt scribbling away speak men like collins bronson boyle destructive towards society outside become creative stuck inside steve richards bronson publisher published many book criminal figure belief root phenomenon pragmatic profound say prison sometimes first time criminal ever known stable environment first time chance focus creative skill may also first time really chance education early year hard could first time anyone offered chance explore creative talent however richards belief reason also deeper say behind bar cold light day hit examine essence ask man want remembered violence man contribute society remembered something good bronson born michael gordon peterson changed name hollywood star death wish film far remembered mainly thing bad originally jailed seven year armed robbery 1974 series sentence added original term year result attacking people prison 2000 jailed life convicted holding teacher hostage nearly two day jail siege standing five foot ten half inch tall weighing 210lbs renowned strength bent metal cell door bare hand 3 000 yes 3 000 press ups day put hit man 20 time four second push 132 press ups 60 second judging current obsession health exercise solitary fitness might book see bronson face sitting every coffee table land might man give u dream body many called fitness guru promise fail motivate u bronson learned use word powerfully use fist crap high protein drink pill diet load bollock multi million pound racket writes described refreshingly honest style fat lazy bastard choice sick hearing reading excuse stuff face shit become shit logical motivational mantra go might kick er backside needed solitary fitness charles bronson published mirage publishing available bookstore october yahoo group sponsor 4 dvd free p join unsubscribe group send email forteana unsubscribe use yahoo group subject
